requirement_id,category_name,requirement_name,description,deliverables
SFR-001,기능요구사항,서버 운영현황 통합관리,물리서버·가상서버·운영체제·미들웨어·주요 서비스의 운영 현황을 통합적으로 관리하며 서버별 호스트명·IP·용도·운영체제·CPU·메모리·디스크·담당자·유지보수 만료일·서비스 상태를 관리하고 변경 이력을 기록한다.,운영대상목록; 구성관리대장
SFR-002,기능요구사항,네트워크 장비 운영관리,스위치·라우터·회선·내부망 및 외부망 연결 구간에 대한 운영관리 체계를 수립하고 장비 상태·포트 사용 현황·트래픽 이상 징후·회선 장애·구성 변경 이력을 점검하며 네트워크 장애 발생 시 원인 분석과 조치 결과를 기록한다.,네트워크 구성도; 장비점검표
SFR-003,기능요구사항,보안장비 운영지원,방화벽·침입방지시스템·웹방화벽·VPN·접근제어 장비의 운영 상태와 정책 변경 이력을 관리하며 정책 변경은 요청·검토·승인·적용·검증 절차에 따라 수행하고 변경 전후 영향을 확인한다.,보안장비점검표; 정책변경이력
SFR-004,기능요구사항,장애 접수 및 대응관리,장애 접수·분류·담당자 배정·원인 분석·조치·종료·재발 방지까지의 전 과정을 관리하고 장애 등급별 대응 기준과 보고 기준을 수립하며 중대 장애는 별도 장애보고서를 제출한다.,장애관리대장; 장애보고서
SFR-005,기능요구사항,운영 모니터링 대시보드 관리,주요 서버 자원·네트워크 트래픽·서비스 상태·보안 이벤트·백업 수행 결과를 확인할 수 있는 운영 모니터링 항목을 정의하고 대시보드 운영 방안을 제시하며 임계치 초과 시 알림 및 조치 절차를 포함한다.,모니터링항목정의서; 대시보드화면설계서
SFR-006,기능요구사항,정기점검 업무 자동화,반복적으로 수행되는 서버 상태 점검·디스크 사용량 점검·서비스 프로세스 점검·백업 결과 점검·계정 점검 항목을 표준화하고 가능한 범위에서 자동 점검 결과를 생성할 수 있도록 운영 절차를 개선한다.,정기점검체크리스트; 자동점검결과서
SFR-007,기능요구사항,백업 운영 및 복구관리,백업 대상 시스템·백업 주기·보관 기간·백업 성공 여부·실패 조치 결과를 관리하고 중요 시스템에 대해서는 정기 복구 테스트를 수행하여 실제 복구 가능성을 검증한다.,백업관리대장; 복구테스트결과서
SFR-008,기능요구사항,자산 및 형상관리,운영 장비와 소프트웨어 라이선스·버전·유지보수 계약·구성 변경 이력을 관리하며 신규 장비 등록·폐기·이전·교체·설정 변경은 형상관리 절차에 따라 기록한다.,자산관리대장; 형상관리대장
DAR-001,데이터요구사항,구성정보 데이터 표준화,서버·네트워크·보안장비·백업장비의 구성정보 항목을 표준화하고 항목명·설명·데이터 타입·관리주체·갱신주기·필수 여부를 정의하여 운영관리대장에 일관되게 반영한다.,구성정보표준정의서
DAR-002,데이터요구사항,운영 로그 수집 및 보관,서버 접속 로그·시스템 이벤트 로그·장비 상태 로그·보안장비 로그 등 운영에 필요한 로그의 수집 대상과 보관 기간을 정의하며 로그는 장애 분석·보안 점검·운영보고에 활용한다.,로그관리정의서; 로그점검보고서
DAR-003,데이터요구사항,백업 데이터 관리,백업 데이터의 생성·보관·폐기·복구 검증 기준을 정의하고 중요 데이터는 보관 정책에 따라 관리하며 백업 실패나 데이터 손상 가능성을 정기적으로 확인한다.,백업정책서; 백업점검결과서
DAR-004,데이터요구사항,장애 및 이슈 데이터 관리,장애와 이슈 데이터를 표준 분류체계에 따라 관리하며 장애 유형·영향도·원인·조치시간·재발 여부·담당자·개선 과제를 기록하고 월간 운영보고 및 개선활동에 활용한다.,장애분류체계; 이슈관리대장
SER-001,보안요구사항,운영자 접근권한 관리,운영자·관리자·협력업체 인력의 접근권한을 역할별로 분리하여 관리하고 신규 권한 부여·변경·회수 절차를 정의하며 정기적으로 불필요 권한을 점검한다.,권한정의서; 접근권한점검표
SER-002,보안요구사항,보안 패치 및 취약점 조치,운영체제·미들웨어·보안장비·주요 소프트웨어의 보안 패치 적용 현황을 관리하고 취약점 진단 결과에 따른 조치 계획·예외 사유·조치 검증 결과를 기록한다.,패치관리대장; 취약점조치결과서
SER-003,보안요구사항,계정 및 인증정보 관리,시스템 계정·관리자 계정·장비 접속 계정·인증서·비밀번호 정책을 관리하고 기본 계정과 장기 미사용 계정을 점검하며 인증정보 유출을 방지하기 위한 관리 절차를 적용한다.,계정관리대장; 인증정보점검표
SER-004,보안요구사항,보안로그 및 이상징후 보고,보안장비 로그와 주요 시스템 보안로그를 정기적으로 확인하고 비정상 접속·반복 실패·권한 변경·대량 다운로드 등 이상징후를 발견한 경우 발주기관에 보고한다.,보안로그점검보고서; 이상징후보고서
QUR-001,품질요구사항,SLA 기반 운영품질 관리,서비스 가용률·장애 대응시간·장애 복구시간·백업 성공률·정기점검 이행률·보안패치 적용률 등 운영품질 지표를 정의하고 월간 기준으로 측정하여 보고한다.,SLA 관리계획서; SLA 월간보고서
QUR-002,품질요구사항,성능 및 용량 관리,CPU·메모리·디스크·데이터베이스 저장공간·네트워크 트래픽 등 주요 자원 사용량을 정기적으로 점검하고 임계치 초과가 예상되는 경우 개선 또는 증설 필요성을 보고한다.,성능점검보고서; 용량계획서
QUR-003,품질요구사항,운영 산출물 품질관리,운영보고서·점검보고서·장애보고서·보안점검보고서 등 주요 산출물은 지정된 양식과 검토 절차에 따라 작성하며 산출물 오류·누락·수치 불일치를 방지하기 위한 품질 검토를 수행한다.,산출물검토표; 품질점검결과서
PMR-001,프로젝트관리요구사항,사업수행계획 및 일정관리,계약 후 착수 단계에서 사업수행계획서를 제출하고 월간·주간 단위의 운영 일정과 주요 활동 계획을 관리하며 정기점검·패치작업·복구테스트·보고 일정은 사전에 발주기관과 협의한다.,사업수행계획서; 일정관리표
PMR-002,프로젝트관리요구사항,변경 및 위험관리,인프라 설정 변경·정책 변경·패치 적용·장비 교체 등 운영 변경사항은 변경관리 절차에 따라 수행하고 위험 요인을 사전에 식별하며 영향도·대응 방안·책임자를 관리한다.,변경관리대장; 위험관리대장
PMR-003,프로젝트관리요구사항,정기보고 및 회의체 운영,주간 또는 월간 단위로 운영현황·장애현황·점검현황·보안조치현황·개선과제 현황을 보고하며 주요 의사결정 사항은 회의록으로 관리하고 후속 조치 여부를 추적한다.,주간보고서; 월간보고서; 회의록
PSR-001,프로젝트지원요구사항,운영자 기술지원 및 교육,발주기관 운영 담당자를 대상으로 장비 운영·장애 대응·백업 복구·보안 점검·운영보고 작성에 필요한 교육과 기술지원을 제공하며 교육은 관리자 수준과 실무자 수준을 구분하여 수행한다.,교육계획서; 교육자료; 기술지원보고서
PSR-002,프로젝트지원요구사항,인수인계 및 안정화 지원,사업 종료 전 운영자료·계정관리 현황·장애 이력·변경 이력·백업 정책·점검 결과·미해결 이슈를 정리하여 발주기관에 인수인계하며 차기 유지관리 전환에 필요한 안정화 지원을 제공한다.,인수인계서; 안정화보고서
